operator_id,roofline_success,tilesim_current_success,tilesim_control_success,upstream_status,tilesim_note
infer:MatMul,0,0,0,succeeded,已有 MatMul/Linear 基础模型；需按实际权重方向、3D batch 展平和分片边界接入，属于我们未适配。
infer:RowParallelLinear,0,0,0,succeeded,已有 MatMul/Linear 基础模型；需按实际权重方向、3D batch 展平和分片边界接入，属于我们未适配。
infer:MHCHead,0,0,0,succeeded,有 HcPre/HcPostTriton/HcPreSinkhorn 等候选；需核对完整融合边界和参数，尚未证明可直接替代。
infer:MHCPost,0,0,0,succeeded,有 HcPre/HcPostTriton/HcPreSinkhorn 等候选；需核对完整融合边界和参数，尚未证明可直接替代。
infer:MHCPre,0,0,0,succeeded,有 HcPre/HcPostTriton/HcPreSinkhorn 等候选；需核对完整融合边界和参数，尚未证明可直接替代。
infer:Compressor,0,0,0,succeeded,理论 Compressor 已有；需转置权重、补 eps/weight、compress_ratio/coff/rope_dim/cur_seq_len，并核对融合范围。
infer:IndexCompressorEpilog,0,0,0,succeeded,有 MLA/Compressor 部件候选；Prolog/Epilog 的完整输入、阶段/量化和融合边界尚未适配，不能用整个 MLA 代替。
infer:IndexPrologV4,0,0,0,succeeded,有 MLA/Compressor 部件候选；Prolog/Epilog 的完整输入、阶段/量化和融合边界尚未适配，不能用整个 MLA 代替。
infer:KVCompressorEpilog,0,0,0,succeeded,有 MLA/Compressor 部件候选；Prolog/Epilog 的完整输入、阶段/量化和融合边界尚未适配，不能用整个 MLA 代替。
infer:MLAEpilogV4,0,0,0,succeeded,有 MLA/Compressor 部件候选；Prolog/Epilog 的完整输入、阶段/量化和融合边界尚未适配，不能用整个 MLA 代替。
infer:MLAPrologV4,0,0,0,succeeded,有 MLA/Compressor 部件候选；Prolog/Epilog 的完整输入、阶段/量化和融合边界尚未适配，不能用整个 MLA 代替。
infer:LightningIndexer,0,0,0,succeeded,工程 LightningIndexer 已有；输入布局和扩展参数未接。
infer:MoEGate,0,0,0,succeeded,有 GEMM、MoeGatingTopK/TopKV2 部件；是否含门控投影/hash/分组不同，需要完整契约或组合模型。
infer:MoEGateHashTopK,0,0,0,succeeded,有 GEMM、MoeGatingTopK/TopKV2 部件；是否含门控投影/hash/分组不同，需要完整契约或组合模型。
infer:MoEGateTopK,0,0,0,succeeded,有 GEMM、MoeGatingTopK/TopKV2 部件；是否含门控投影/hash/分组不同，需要完整契约或组合模型。
infer:MoETopK,0,0,0,succeeded,有 GEMM、MoeGatingTopK/TopKV2 部件；是否含门控投影/hash/分组不同，需要完整契约或组合模型。
infer:AddRMSNormQuant,0,0,0,succeeded,有 RmsNorm/AddRmsNorm 部件；额外 bias/gate/quant 融合边界未建适配，未发现可直接替代的同边界注册模型。
infer:RMSNormGated,0,0,0,succeeded,有 RmsNorm/AddRmsNorm 部件；额外 bias/gate/quant 融合边界未建适配，未发现可直接替代的同边界注册模型。
infer:RMSNormQuant,0,0,0,succeeded,有 RmsNorm/AddRmsNorm 部件；额外 bias/gate/quant 融合边界未建适配，未发现可直接替代的同边界注册模型。
infer:PLELayer,0,0,0,blocked_input,
infer:RopeComplex,0,0,0,succeeded,理论 RotaryPositionEmbedding 候选需 x/sin/cos 三输入；当前模板没有完整 sin/cos 表，布局语义待核对。
infer:RopeInterLeave,0,0,0,succeeded,同上，另需确认 interleave 规则和 Q/K 两路输出。
infer:QSAIndexer,0,0,0,blocked_input,
infer:DynamicQuant,0,0,5,succeeded,
infer:SparseIndexSelect,0,0,0,failed,没有已验证同边界模型；上游输出形状也缺 index_topk。
infer:TorchAdd,0,0,19,succeeded,
infer:TorchCos,0,0,0,succeeded,
infer:TorchCumsum,0,0,0,succeeded,已有 工程 Cumsum；当前配置无 axis 实际值，需要补语义和适配。
infer:TorchMm,0,14,14,succeeded,
infer:TorchMul,0,0,19,succeeded,
infer:TorchSin,0,0,0,succeeded,
infer:TorchSoftmax,0,0,19,succeeded,
infer:TorchSort,0,0,0,succeeded,
infer:TorchSum,0,0,0,succeeded,理论 ReduceSum 已有；资产输出指向沿 S 维归约，需显式 reduce_axis/keepdim 和输出适配。
infer:vision_encoder_block,0,0,0,blocked_input,
infer:vision_patch_embed,0,0,0,blocked_input,
infer:vision_patch_merger,0,0,0,blocked_input,
infer:vision_text_embedding_merge,0,0,0,blocked_input,
